Wall time,Step,Value
1767516131.986388,2,0.10520070046186447
1767520422.5138998,4,0.06878441572189331
1767547329.4132059,10,0.14435680210590363
1767547957.1790814,20,0.06584238260984421
1767548576.3178115,30,0.0527673177421093
1767549177.975074,40,0.08074174076318741
1767549745.1865711,50,0.0788286030292511
1767550362.9498932,60,0.019188715144991875
1767550945.3812687,70,0.043150659650564194
1767551565.6492803,80,0.055616509169340134
1767552172.6942003,90,0.024137109518051147
1767552795.4128523,100,0.03258926793932915
1767553412.9747117,110,0.12479903548955917
1767554056.058917,120,0.053449779748916626
1767554655.0292575,130,0.03692437335848808
1767555271.7680292,140,0.0613243468105793
1767555907.7765455,150,0.016981149092316628
1767556469.911677,160,0.022165728732943535
1767557094.5133154,170,0.023701243102550507
1767557700.579824,180,0.01539165060967207
1767558328.556386,190,0.016523635014891624
1767558957.3217204,200,0.028476620092988014
1767559593.3950882,210,0.02972777746617794
1767560210.8171177,220,0.08289583027362823
1767560845.4501922,230,0.04596291109919548
1767561471.369055,240,0.060096073895692825
1767562100.3174994,250,0.02423996664583683
1767562704.2668977,260,0.04351145401597023
1767563347.2619147,270,0.00778233353048563
1767563937.700291,280,0.01779887266457081
1767564564.1232307,290,0.010084989480674267
1767565162.598283,300,0.011842395178973675
1767565805.0889502,310,0.07504481077194214
1767566396.417533,320,0.058415114879608154
1767567035.6192873,330,0.026120049878954887
1767567656.7862194,340,0.012544688768684864
1767568284.9943345,350,0.036444030702114105
1767568918.0257323,360,0.010566196404397488
1767569517.8639562,370,0.009757548570632935
1767570144.9151547,380,0.026044731959700584
1767570768.9880853,390,0.014961669221520424
1767571384.1895213,400,0.03317984193563461
1767571992.3715136,410,0.0358700267970562
1767572629.7672894,420,0.04431403800845146
1767573242.2615678,430,0.007476785220205784
1767573869.6012669,440,0.013023880310356617
1767574486.6986523,450,0.020010119304060936
1767575124.9016867,460,0.011637176387012005
1767575737.9514408,470,0.027957258746027946
1767576354.1469321,480,0.03460799157619476
1767576952.3952858,490,0.028501048684120178
1767577536.9729753,500,0.020613281056284904
1767578104.0172715,510,0.021996278315782547
1767578689.4068396,520,0.00962510984390974
1767579287.361336,530,0.005412472877651453
1767579862.1412642,540,0.011443539522588253
1767580422.1803396,550,0.012235268950462341
1767581017.1227956,560,0.009365834295749664
1767581588.4997766,570,0.027882922440767288
1767582186.7104108,580,0.025583405047655106
1767582751.6098418,590,0.009689465165138245
1767583309.4108982,600,0.014910458587110043
1767583909.161134,610,0.047464609146118164
1767584485.3072474,620,0.051253676414489746
1767585059.2063837,630,0.010366393253207207
1767585679.8367717,640,0.029941249638795853
1767586259.2858775,650,0.037430670112371445
1767586843.9031081,660,0.01134334784001112
1767587435.709849,670,0.009543142281472683
1767587996.0290148,680,0.03200584277510643
1767588592.5545866,690,0.006807299796491861
1767589205.2285378,700,0.025212476029992104
1767589763.989095,710,0.05028882250189781
1767590338.982552,720,0.016768772155046463
1767590893.218948,730,0.010089175775647163
1767591476.074607,740,0.019748631864786148
1767592081.958838,750,0.021508626639842987
1767592673.197189,760,0.011664184741675854
1767593240.5117931,770,0.03554626926779747
1767593829.5783489,780,0.012012727558612823
1767594408.777858,790,0.00669310986995697
1767594998.6846912,800,0.009186746552586555
1767595600.3741665,810,0.04943316802382469
1767596161.7853796,820,0.006905318237841129
1767596744.8536563,830,0.011712291277945042
1767597324.7416024,840,0.011151253245770931
1767597908.833827,850,0.014658632688224316
1767598499.2374842,860,0.010513853281736374
1767599055.2922404,870,0.005726924631744623
1767599620.9388413,880,0.03138300031423569
1767600225.1158738,890,0.009418055415153503
1767600793.2702677,900,0.0119941970333457
1767601367.949557,910,0.014340797439217567
1767601964.404887,920,0.014220199547708035
1767602536.553885,930,0.008166461251676083
1767603123.5810475,940,0.007177280727773905
1767603685.8926587,950,0.006585780065506697
1767604253.8198366,960,0.048368729650974274
1767604515.622566,970,0.008348134346306324
1767604631.9628632,980,0.028651216998696327
1767604700.2209969,990,0.008552560582756996
1767604768.6877239,1000,0.024643855169415474
1767604832.2819421,1010,0.007466611918061972
1767604891.3972263,1020,0.014823796227574348
1767604951.9473493,1030,0.009839258156716824
1767605012.8594387,1040,0.04253118857741356
1767605074.2562094,1050,0.016384799033403397
1767605136.6569488,1060,0.006286710500717163
1767605199.6418052,1070,0.02688767947256565
1767605270.0714881,1080,0.009161025285720825
1767605341.4428816,1090,0.03777819499373436
1767605412.4727387,1100,0.05135704204440117
1767605484.8058395,1110,0.0555620975792408
1767605556.591788,1120,0.009929741732776165
1767605629.1600044,1130,0.011247643269598484
1767605702.0844202,1140,0.0060973758809268475
1767605775.044739,1150,0.016517847776412964
1767605848.5048501,1160,0.06342997401952744
1767605922.3514075,1170,0.015369188971817493
1767605996.0974908,1180,0.019283415749669075
1767606070.3198242,1190,0.0101461885496974
1767606140.5020905,1200,0.00570555729791522
1767606225.1987867,1210,0.011764566414058208
1767606292.9486053,1220,0.0694793090224266
1767606362.267551,1230,0.03794102743268013
